title,url,item
哪些素质很重要，却是读书学不来的？,https://www.zhihu.com/question/28626263/answer/41992632,高赞
想要充实自己，有哪10本书和10部电影值得推荐？,https://www.zhihu.com/question/35005800/answer/61498512,高赞
有哪些很重要又被忽视的炒菜技巧？,https://www.zhihu.com/question/22467582/answer/21504075,高赞
如何看待「医生拒绝给艾滋病人做手术」？,https://www.zhihu.com/question/29547414/answer/44818033,高赞
要怎样努力，才能成为很厉害的人？,https://www.zhihu.com/question/22921426/answer/23330366,高赞
有哪些外行人看来很蠢的设计实际上却是精妙无比？,https://www.zhihu.com/question/32189846/answer/99091636,高赞
如何长时间高效学习？,https://www.zhihu.com/question/28358499/answer/73162464,高赞
思念到极致是什么感觉？,https://www.zhihu.com/question/31914864/answer/88571793,高赞
历史上有哪些成就颇高但鲜为人知的人？,https://www.zhihu.com/question/39886583/answer/86560817,高赞
有哪些好看的高智商悬疑电影？,https://www.zhihu.com/question/35811067/answer/65986583,高赞
如何成为一个优秀的男朋友？,https://www.zhihu.com/question/26753619/answer/34280535,高赞
被蟒蛇盯上了，如何保命？,https://www.zhihu.com/question/23648378/answer/34125846,高赞
好朋友之间是如何变淡的？,https://www.zhihu.com/question/27346629/answer/36304753,高赞
淘宝上有哪些网购美食？,https://www.zhihu.com/question/20958648/answer/16745450,高赞
人截肢了以后会有什么感觉？,https://www.zhihu.com/question/25518717/answer/90861183,高赞
体质极差的人如何从头开始恢复身体素质？,https://www.zhihu.com/question/20381470/answer/28568570,高赞
谁是 2016 年的演技最差的男星？,https://www.zhihu.com/question/54384499/answer/139174791,高赞
让你感到最憋屈的事是什么？,https://www.zhihu.com/question/23562939/answer/139291726,高赞
有哪些必备的知识技能？,https://www.zhihu.com/question/35112627/answer/61710698,高赞
《不能说的秘密》是部好电影吗？,https://www.zhihu.com/question/21842476/answer/24177466,高赞
吃的方式能否反映一个人的教养、内涵？,https://www.zhihu.com/question/38642177/answer/84398196,高赞
你写过或者听过哪些「魔性」的故事？,https://www.zhihu.com/question/39314386/answer/88531424,高赞
就 2015 年初而言，国人的审美大体处于一个什么样的水平？,https://www.zhihu.com/question/28409136/answer/40799569,高赞
你有什么道理后悔没有早点知道？,https://www.zhihu.com/question/23819007/answer/107332874,高赞
医生为什么不搭理未挂号的病人？,https://www.zhihu.com/question/21263953/answer/17757062,高赞
你觉得自己厉害在哪里？,https://www.zhihu.com/question/19568396/answer/16245159,高赞
有文化有多可怕？,https://www.zhihu.com/question/50200915/answer/120450390,高赞
有哪些可以提升情商、判断力和谈话技巧的书籍？,https://www.zhihu.com/question/28070036/answer/39676252,高赞
在交通工具上靠着陌生人的肩膀睡着了或是被陌生人靠着肩膀睡着了是怎样一种体验？,https://www.zhihu.com/question/48442985/answer/112197685,高赞
有什么知识，你知道后你的世界马上就不一样了？,https://www.zhihu.com/question/38632401/answer/78174299,高赞
有哪些软件堪称「神器」，却不为大众所知？,https://www.zhihu.com/question/36546814/answer/80647839,高赞
在学校门口卖铁板鱿鱼的大二女生，以后会有什么发展？,https://www.zhihu.com/question/30736289/answer/49652491,高赞
你亲身经历过哪些听起来像段子一样的故事？,https://www.zhihu.com/question/48337357/answer/114244268,高赞
最适合在办公室吃的零食是什么？,https://www.zhihu.com/question/19552586/answer/83906685,高赞
如果800个小时后发生世界大战，你最想怎么做？,https://www.zhihu.com/question/40350229/answer/87428865,高赞
现实可以有多美好？,https://www.zhihu.com/question/24269892/answer/61172217,高赞
有哪些你第一眼看到就爱上的句子？,https://www.zhihu.com/question/33449950/answer/61727365,高赞
你亲身经历过哪些听起来像段子一样的故事？,https://www.zhihu.com/question/48337357/answer/112352460,高赞
男女交往中男性的核心竞争力是什么？,https://www.zhihu.com/question/23513628/answer/24826186,高赞
和成熟女人谈恋爱是什么感觉？,https://www.zhihu.com/question/26225856/answer/46125733,高赞
装逼成功是怎样一种体验？,https://www.zhihu.com/question/37018823/answer/72123302,高赞
最让你震惊的一个杀人案件是什么？,https://www.zhihu.com/question/40646841/answer/94339828,高赞
